2026-07-17 06:59:16,493 | INFO | root | Pipeline Started
2026-07-17 06:59:17,203 | INFO | extract | Extracted 25 from the table
2026-07-17 06:59:17,252 | INFO | load | 0 inserted to dim_driver
2026-07-17 06:59:18,929 | INFO | extract | Extracted 30 from the table
2026-07-17 06:59:18,980 | INFO | load | 30 inserted to dim_vehicle
2026-07-17 06:59:19,036 | INFO | extract | Extracted 45 from the table
2026-07-17 06:59:19,098 | INFO | load | 0 inserted to dim_passenger
2026-07-17 06:59:19,131 | INFO | extract | Extracted 25 from the table
2026-07-17 06:59:19,171 | INFO | load | 0 inserted to dim_location
2026-07-17 06:59:19,187 | INFO | extract | Extracted 7 from the table
2026-07-17 06:59:19,197 | INFO | load | 0 inserted to dim_payment_method
2026-07-17 06:59:19,214 | INFO | extract | Extracted 10 from the table
2026-07-17 06:59:19,227 | INFO | load | 0 inserted to dim_promo_code
2026-07-17 06:59:19,230 | INFO | root | Dimention table load completed on 2.05s
2026-07-17 06:59:19,234 | INFO | extract | Loading lookup table into memmory
2026-07-17 06:59:19,311 | INFO | root | Lookup table extraction completed on 0.08s
2026-07-17 06:59:19,365 | INFO | extract | Watermark: 2026-07-30 23:57:54
2026-07-17 06:59:19,416 | INFO | extract | Extracted 5 from the table
2026-07-17 06:59:19,423 | INFO | root | Trip extraction  completed on 0.10s
2026-07-17 06:59:19,427 | INFO | transform | Transformed 5 rows, skipped 0
2026-07-17 06:59:19,438 | INFO | root | Transformation completed on 0.01s
2026-07-17 06:59:19,441 | INFO | quality | Quality gate passed: 5 rows, 5 checks
2026-07-17 06:59:19,449 | INFO | root | Quality Check completed on 0.01s
2026-07-17 06:59:19,644 | INFO | load | 5 inserted to fact_trips
2026-07-17 06:59:19,651 | INFO | root | Trip table load completed on 0.20s
