2026-07-17 06:04:13,310 | INFO | root | Pipeline Started
2026-07-17 06:04:13,926 | INFO | extract | Extracted 25 from the table
2026-07-17 06:04:13,966 | INFO | load | 0 inserted to dim_driver
2026-07-17 06:04:14,050 | INFO | extract | Extracted 30 from the table
2026-07-17 06:04:14,092 | INFO | load | 30 inserted to dim_vehicle
2026-07-17 06:04:14,124 | INFO | extract | Extracted 45 from the table
2026-07-17 06:04:14,180 | INFO | load | 0 inserted to dim_passenger
2026-07-17 06:04:14,312 | INFO | extract | Extracted 25 from the table
2026-07-17 06:04:14,422 | INFO | load | 0 inserted to dim_location
2026-07-17 06:04:14,593 | INFO | extract | Extracted 7 from the table
2026-07-17 06:04:14,609 | INFO | load | 0 inserted to dim_payment_method
2026-07-17 06:04:14,684 | INFO | extract | Extracted 10 from the table
2026-07-17 06:04:14,711 | INFO | load | 0 inserted to dim_promo_code
2026-07-17 06:04:14,735 | INFO | root | Dimention table load completed on 0.83s
2026-07-17 06:04:14,778 | INFO | extract | Loading lookup table into memmory
2026-07-17 06:04:14,859 | INFO | root | Lookup table extraction completed on 0.08s
2026-07-17 06:04:15,072 | INFO | extract | Watermark: 2026-07-30 23:57:54
2026-07-17 06:04:15,188 | INFO | extract | Extracted 0 from the table
2026-07-17 06:04:15,205 | INFO | root | Trip extraction  completed on 0.34s
2026-07-17 06:04:15,253 | INFO | transform | Transformed 0 rows, skipped 0
2026-07-17 06:04:15,269 | INFO | root | Transformation completed on 0.02s
