2026-07-17 07:46:06,310 | INFO | root | Pipeline Started
2026-07-17 07:46:07,140 | INFO | extract | Extracted 25 from the table
2026-07-17 07:46:07,270 | INFO | load | 25 inserted to dim_driver
2026-07-17 07:46:07,317 | INFO | extract | Extracted 30 from the table
2026-07-17 07:46:07,374 | INFO | load | 30 inserted to dim_vehicle
2026-07-17 07:46:07,404 | INFO | extract | Extracted 45 from the table
2026-07-17 07:46:07,469 | INFO | load | 45 inserted to dim_passenger
2026-07-17 07:46:07,523 | INFO | extract | Extracted 25 from the table
2026-07-17 07:46:07,637 | INFO | load | 25 inserted to dim_location
2026-07-17 07:46:07,684 | INFO | extract | Extracted 7 from the table
2026-07-17 07:46:07,741 | INFO | load | 7 inserted to dim_payment_method
2026-07-17 07:46:07,788 | INFO | extract | Extracted 10 from the table
2026-07-17 07:46:07,867 | INFO | load | 10 inserted to dim_promo_code
2026-07-17 07:46:07,944 | INFO | root | Dimention table load completed on 0.83s
2026-07-17 07:46:08,037 | INFO | extract | Loading lookup table into memmory
2026-07-17 07:46:08,106 | INFO | root | Lookup table extraction completed on 0.07s
2026-07-17 07:46:08,166 | INFO | extract | Watermark: 2026-08-01 00:00:00
2026-07-17 07:46:08,228 | INFO | extract | Extracted 5 from the table
2026-07-17 07:46:08,275 | INFO | root | Trip extraction  completed on 0.15s
2026-07-17 07:46:08,348 | INFO | transform | Transformed 5 rows, skipped 0
2026-07-17 07:46:08,376 | INFO | root | Transformation completed on 0.03s
