2026-07-16 07:44:04,621 | INFO | root | Pipeline Started
2026-07-16 07:44:05,122 | INFO | extract | Extracted 25 from the table
2026-07-16 07:44:05,152 | INFO | load | 0 inserted to dim_driver
2026-07-16 07:44:05,156 | INFO | extract | Extracted 30 from the table
2026-07-16 07:44:05,173 | INFO | load | 30 inserted to dim_vehicle
2026-07-16 07:44:05,189 | INFO | extract | Extracted 45 from the table
2026-07-16 07:44:05,207 | INFO | load | 0 inserted to dim_passenger
2026-07-16 07:44:05,237 | INFO | extract | Extracted 25 from the table
2026-07-16 07:44:05,253 | INFO | load | 0 inserted to dim_location
2026-07-16 07:44:05,253 | INFO | extract | Extracted 7 from the table
2026-07-16 07:44:05,261 | INFO | load | 0 inserted to dim_payment_method
2026-07-16 07:44:05,269 | INFO | extract | Extracted 10 from the table
2026-07-16 07:44:05,271 | INFO | load | 0 inserted to dim_promo_code
2026-07-16 07:44:05,271 | INFO | root | Dimention table load completed on 0.23s
2026-07-16 07:44:05,271 | INFO | extract | Loading lookup table into memmory
2026-07-16 07:44:05,314 | INFO | root | Lookup table extraction completed on 0.04s
2026-07-16 07:44:05,325 | INFO | extract | Watermark: 2026-06-29 21:53:01
2026-07-16 07:44:05,354 | INFO | extract | Extracted 0 from the table
2026-07-16 07:44:05,354 | INFO | root | Trip extraction  completed on 0.04s
2026-07-16 07:44:05,354 | INFO | transform | Transformed 0 rows, skipped 0
2026-07-16 07:44:05,354 | INFO | root | Transformation completed on 0.00s
